,Government Officials
0,@EswatiniGovern1
1,@MalawiGovt
2,@hagegeingob
3,@FinanceSC
4,@PresidencyZA
5,@Dora_Siliya
6,@ChitaluChilufy3
7,@noalaskinner
8,@coumbagadio_ZM
9,@unicefzambia
10,@UNZambia
11,@mohzambia
12,@edmnangagwa
13,@MinSantedj
14,@hawelti
15,@StateHouseKenya
16,@WHO
17,@StateHouseKenya
18,@Macky_Sall
19,@MagufuliJP
20,@Presidence_RDC
21,@CyrilRamaphosa
22,@BorisJohnson
23,@KGeorgieva
24,@PaulKagame
25,@M_Farmaajo
26,@SouthSudanGov
27,@SudanPMHamdok
28,@TZSpokesperson
29,@KagutaMuseveni
30,@angola_Mirex
31,@willynyamitwe
32,@Cherif_MZ
33,@Presidence_RDC
34,@PresidentABO
35,@gouvbenin
36,@PresidenceBenin
37,@rochkaborepf
38,@PresidenciaCV
39,@AOuattara_PRCI
40,@Presidency_GMB
41,@NAkufoAddo
42,@President_GN
43,@USEmbalo
44,@PresidenceMali
45,@CheikhGhazouani
46,@IssoufouMhm
47,@MBuhari
48,@PaulKagame
49,@Macky_Sall
50,@PresidentBio
51,@MSPS_Togo
